5253404,195.69,1386.14,1890.55
5253408,97.75,97.75,6004.14
5253414,97.75,589.39,4596.53
5253419,1386.14,1789.26,1386.14
5253425,97.75,97.75,787.40
5253429,97.75,97.75,97.75
5253433,1688.18,97.75,2297.70
5253439,1185.77,6113.99,5675.96
5253443,2708.12,688.30,2502.50
5253449,1386.14,97.75,1285.85
5253453,97.75,97.75,1688.18
5253459,986.19,1486.62,3434.35
5253464,97.75,293.83,5133.47
5253468,97.75,97.75,7112.97
5253474,2502.50,688.30,5241.53
5253478,1890.55,4810.64,7789.47
5253484,3434.35,97.75,3853.95
5253488,97.75,97.75,4065.04
5253494,1688.18,1890.55,1486.62
5253498,1085.89,97.75,1486.62
5253505,97.75,1789.26,195.69
5253509,5567.01,97.75,6004.14
5253515,97.75,886.70,3748.74
5253519,1789.26,7676.12,97.75
5253523,97.75,97.75,1992.03
5253529,1992.03,97.75,2093.72
5253533,97.75,97.75,1085.89
5253539,986.19,97.75,97.75
5253543,293.83,2400.00,2502.50
5253548,97.75,97.75,688.30
5253554,97.75,97.75,1285.85
5253558,97.75,392.16,5133.47
5253564,3225.80,1789.26,1789.26
5253568,6889.35,97.75,1386.14
5253574,97.75,886.70,3121.85
5253578,986.19,97.75,2914.57
5253582,97.75,97.75,2708.12
5253588,8474.58,97.75,490.68
5253593,4703.47,589.39,2297.70
5253599,1185.77,97.75,8474.58
5253603,97.75,195.69,4276.99
5253609,97.75,97.75,4276.99
5253613,97.75,1285.85,3643.73
5253617,787.40,97.75,97.75
5253623,97.75,97.75,2502.50
5253627,7903.05,97.75,97.75
5253632,97.75,97.75,2708.12
5253638,1285.85,1486.62,490.68
5253642,1992.03,1992.03,3121.85
5253648,2195.61,97.75,97.75
5253652,2195.61,97.75,1890.55
5253658,986.19,195.69,97.75
5253662,97.75,1688.18,195.69
5253666,7450.15,6334.38,787.40
5253672,8474.58,787.40,3538.93
5253677,1185.77,886.70,4918.03
5253683,490.68,1890.55,3538.93
5253687,97.75,97.75,3853.95
5253693,3225.80,97.75,4276.99
5253697,97.75,886.70,392.16
5253703,97.75,97.75,1587.31
5253707,97.75,2195.61,3121.85
5253711,7563.03,490.68,1185.77
5253718,97.75,97.75,1789.26
5253722,97.75,97.75,2811.24
5253728,97.75,5567.01,97.75
5253732,3434.35,490.68,2708.12
5253738,1486.62,787.40,2914.57
5253742,97.75,392.16,2811.24
5253746,4170.91,97.75,3018.10
5253752,97.75,1587.31,3121.85
5253756,1386.14,1185.77,97.75
5253763,392.16,97.75,2195.61
5253767,1285.85,97.75,97.75
5253773,97.75,2502.50,2605.21
5253777,97.75,986.19,5241.53
5253781,293.83,97.75,3643.73
5253787,97.75,7789.47,1386.14
5253791,97.75,886.70,3225.80
5253797,1285.85,490.68,5785.12
5253801,97.75,2297.70,3434.35
5253808,293.83,97.75,97.75
5253812,2914.57,1486.62,2400.00
5253818,1688.18,688.30,4170.91
5253822,97.75,97.75,3018.10
5253826,97.75,97.75,1890.55
5253832,97.75,1285.85,3225.80
5253836,986.19,97.75,4489.79
5253842,886.70,392.16,1285.85
5253847,1285.85,97.75,97.75
5253851,787.40,97.75,2400.00
5253857,1085.89,1486.62,5241.53
5253861,787.40,97.75,3225.80
5253867,97.75,8359.79,3748.74
5253871,5567.01,293.83,4383.28
5253877,1285.85,688.30,97.75
5253881,97.75,97.75,2297.70
5253888,97.75,3225.80,1890.55
5253892,97.75,293.83,3018.10
5253896,1085.89,1085.89,9052.18
5253902,97.75,97.75,4065.04
5253906,97.75,97.75,1890.55
5253912,97.75,1486.62,3748.74
5253916,392.16,97.75,1992.03
5253922,5458.30,97.75,3538.93
5253926,97.75,6889.35,2297.70
5253931,97.75,2605.21,3018.10
5253937,688.30,787.40,3434.35
5253941,490.68,97.75,3121.85
5253947,1386.14,97.75,1688.18
5253951,97.75,589.39,3538.93
5253957,688.30,97.75,2811.24
5253961,1486.62,1992.03,3018.10
5253967,97.75,2195.61,3959.39
5253971,97.75,787.40,3643.73
5253976,986.19,787.40,5458.30
5253982,97.75,392.16,3329.97
5253986,7563.03,97.75,1486.62
5253992,97.75,97.75,3121.85
5253996,589.39,986.19,2297.70
5254002,2811.24,589.39,2811.24
5254006,97.75,97.75,5785.12
5254010,4276.99,392.16,4383.28
5254017,986.19,490.68,8130.94
5254021,1386.14,97.75,2811.24
5254027,1285.85,1386.14,2914.57
5254031,97.75,2093.72,886.70
5254037,97.75,97.75,2811.24
5254041,97.75,2605.21,2811.24
5254047,2914.57,1992.03,97.75
5254051,97.75,195.69,3434.35
5254055,1486.62,3329.97,97.75
5254062,97.75,1185.77,1992.03
5254066,97.75,97.75,2093.72
5254072,2914.57,1185.77,4065.04
5254076,97.75,293.83,5349.79
5254082,2811.24,2708.12,6004.14
5254086,97.75,97.75,7450.15
5254092,490.68,490.68,4383.28
5254096,688.30,1386.14,97.75
5254100,97.75,392.16,2297.70
5254107,293.83,97.75,97.75
5254111,7563.03,787.40,2914.57
5254117,1486.62,3538.93,5349.79
5254121,787.40,1789.26,1992.03
5254127,97.75,97.75,2708.12
5254131,97.75,787.40,1992.03
5254137,1486.62,3018.10,5349.79
5254141,195.69,2093.72,5458.30
5254148,7789.47,886.70,5241.53
5254152,1185.77,1085.89,3018.10
5254158,886.70,9284.95,5458.30
5254162,490.68,2605.21,2502.50
5254168,97.75,97.75,97.75
5254172,688.30,986.19,2400.00
5254176,2297.70,6666.67,5675.96
5254182,688.30,97.75,1486.62
5254187,97.75,2093.72,97.75
5254193,986.19,490.68,2502.50
5254197,4918.03,97.75,9871.24
